row,col,type,family,abundance,purity,extraction_difficulty,environmental_impact,economic_value,description
25,29,Nickel_Rich_Nodule,Manganese_Nodule,0.639,0.767,0.594,0.463,47001,
34,46,Nickel_Rich_Nodule,Manganese_Nodule,0.63,0.898,0.505,0.427,52711,
37,42,Nickel_Rich_Nodule,Manganese_Nodule,0.601,0.885,0.507,0.506,49818,
19,47,Nickel_Rich_Nodule,Manganese_Nodule,0.404,0.837,0.498,0.486,32700,
41,24,Nickel_Rich_Nodule,Manganese_Nodule,0.497,0.81,0.479,0.475,39991,
11,35,Nickel_Rich_Nodule,Manganese_Nodule,0.752,0.72,0.515,0.523,55996,
29,40,Nickel_Rich_Nodule,Manganese_Nodule,0.792,0.84,0.559,0.604,62184,
15,39,Nickel_Rich_Nodule,Manganese_Nodule,0.819,0.759,0.597,0.423,59897,
44,38,Nickel_Rich_Nodule,Manganese_Nodule,0.469,0.894,0.566,0.567,37882,
5,39,Nickel_Rich_Nodule,Manganese_Nodule,0.521,0.714,0.534,0.477,38271,
32,30,Nickel_Rich_Nodule,Manganese_Nodule,0.667,0.819,0.571,0.486,51364,
45,38,Nickel_Rich_Nodule,Manganese_Nodule,0.942,0.899,0.561,0.492,76529,
42,17,Nickel_Rich_Nodule,Manganese_Nodule,0.98,0.772,0.467,0.472,77385,
35,23,Nickel_Rich_Nodule,Manganese_Nodule,0.469,0.788,0.577,0.458,35263,
43,38,Nickel_Rich_Nodule,Manganese_Nodule,0.443,0.902,0.553,0.536,36173,
49,16,Nickel_Rich_Nodule,Manganese_Nodule,0.331,0.812,0.506,0.45,26299,
34,32,Nickel_Rich_Nodule,Manganese_Nodule,0.704,0.829,0.55,0.392,55161,
13,34,Nickel_Rich_Nodule,Manganese_Nodule,0.305,0.713,0.537,0.497,22379,
47,14,Nickel_Rich_Nodule,Manganese_Nodule,0.682,0.788,0.476,0.483,54137,
4,48,Nickel_Rich_Nodule,Manganese_Nodule,0.687,0.743,0.481,0.457,52905,
20,37,Nickel_Rich_Nodule,Manganese_Nodule,0.903,0.776,0.497,0.546,70390,
35,24,Nickel_Rich_Nodule,Manganese_Nodule,0.437,0.781,0.549,0.491,33263,
33,45,Nickel_Rich_Nodule,Manganese_Nodule,0.207,0.872,0.593,0.546,16272,
29,38,Nickel_Rich_Nodule,Manganese_Nodule,0.344,0.84,0.595,0.473,26490,
38,24,Nickel_Rich_Nodule,Manganese_Nodule,0.541,0.787,0.599,0.431,40233,
16,44,Nickel_Rich_Nodule,Manganese_Nodule,0.433,0.79,0.502,0.519,34009,
44,17,Nickel_Rich_Nodule,Manganese_Nodule,0.5,0.805,0.469,0.544,40331,
21,39,Nickel_Rich_Nodule,Manganese_Nodule,0.748,0.724,0.424,0.458,58585,
38,38,Nickel_Rich_Nodule,Manganese_Nodule,0.509,0.872,0.497,0.477,42146,
28,29,Nickel_Rich_Nodule,Manganese_Nodule,0.519,0.789,0.553,0.574,39633,
7,42,Nickel_Rich_Nodule,Manganese_Nodule,0.638,0.737,0.525,0.417,47838,
36,41,Nickel_Rich_Nodule,Manganese_Nodule,0.469,0.878,0.545,0.477,37959,
41,21,Nickel_Rich_Nodule,Manganese_Nodule,0.685,0.801,0.573,0.59,52082,
38,25,Nickel_Rich_Nodule,Manganese_Nodule,0.757,0.793,0.589,0.495,56824,
45,7,Nickel_Rich_Nodule,Manganese_Nodule,0.43,0.743,0.573,0.571,31505,
26,27,Nickel_Rich_Nodule,Manganese_Nodule,0.541,0.828,0.429,0.429,45103,
25,41,Nickel_Rich_Nodule,Manganese_Nodule,0.672,0.827,0.573,0.438,51907,
16,32,Nickel_Rich_Nodule,Manganese_Nodule,0.732,0.722,0.573,0.48,52892,
35,8,Nickel_Rich_Nodule,Manganese_Nodule,0.539,0.712,0.599,0.363,38147,
35,34,Nickel_Rich_Nodule,Manganese_Nodule,0.816,0.831,0.575,0.441,63122,
23,36,Nickel_Rich_Nodule,Manganese_Nodule,0.456,0.792,0.534,0.51,35177,
26,34,Nickel_Rich_Nodule,Manganese_Nodule,0.571,0.807,0.596,0.615,43005,
34,33,Nickel_Rich_Nodule,Manganese_Nodule,0.255,0.833,0.582,0.481,19686,
22,41,Nickel_Rich_Nodule,Manganese_Nodule,0.757,0.795,0.465,0.478,60779,
30,27,Nickel_Rich_Nodule,Manganese_Nodule,0.599,0.774,0.402,0.629,49025,
37,13,Nickel_Rich_Nodule,Manganese_Nodule,0.613,0.817,0.594,0.57,46571,
9,43,Nickel_Rich_Nodule,Manganese_Nodule,0.73,0.761,0.491,0.537,56559,
39,27,Nickel_Rich_Nodule,Manganese_Nodule,0.56,0.833,0.587,0.419,43121,
5,38,Nickel_Rich_Nodule,Manganese_Nodule,0.818,0.703,0.598,0.528,57571,
16,45,Nickel_Rich_Nodule,Manganese_Nodule,0.707,0.803,0.595,0.493,53185,
36,34,Nickel_Rich_Nodule,Manganese_Nodule,0.47,0.833,0.513,0.566,37673,
28,28,Nickel_Rich_Nodule,Manganese_Nodule,0.665,0.775,0.464,0.409,52744,
34,31,Copper_Nodule,Manganese_Nodule,0.162,0.825,0.538,0.574,11770,
25,29,Copper_Nodule,Manganese_Nodule,0.472,0.767,0.594,0.522,32044,
21,37,Copper_Nodule,Manganese_Nodule,0.184,0.78,0.404,0.456,13923,
35,8,Copper_Nodule,Manganese_Nodule,0.65,0.712,0.599,0.59,42474,
8,44,Copper_Nodule,Manganese_Nodule,0.688,0.754,0.578,0.527,46748,
34,26,Copper_Nodule,Manganese_Nodule,0.5,0.792,0.528,0.499,35792,
48,30,Copper_Nodule,Manganese_Nodule,0.559,0.908,0.476,0.515,44035,
12,38,Copper_Nodule,Manganese_Nodule,0.846,0.73,0.475,0.482,59823,
16,44,Copper_Nodule,Manganese_Nodule,0.603,0.79,0.502,0.48,43682,
41,26,Copper_Nodule,Manganese_Nodule,0.546,0.833,0.519,0.556,40245,
38,11,Copper_Nodule,Manganese_Nodule,0.687,0.746,0.586,0.515,46283,
47,7,Copper_Nodule,Manganese_Nodule,0.573,0.755,0.575,0.456,39008,
44,3,Copper_Nodule,Manganese_Nodule,0.737,0.726,0.563,0.541,49586,
26,43,Copper_Nodule,Manganese_Nodule,0.774,0.842,0.472,0.499,58865,
34,9,Copper_Nodule,Manganese_Nodule,0.443,0.712,0.558,0.532,29598,
44,39,Copper_Nodule,Manganese_Nodule,0.814,0.855,0.573,0.542,59100,
49,3,Copper_Nodule,Manganese_Nodule,0.442,0.824,0.492,0.518,32896,
25,38,Copper_Nodule,Manganese_Nodule,0.209,0.805,0.534,0.567,15044,
25,40,Copper_Nodule,Manganese_Nodule,0.633,0.81,0.539,0.51,45503,
18,43,Copper_Nodule,Manganese_Nodule,0.908,0.794,0.528,0.47,65056,
0,48,Copper_Nodule,Manganese_Nodule,0.623,0.729,0.468,0.457,44185,
47,3,Copper_Nodule,Manganese_Nodule,0.301,0.755,0.501,0.514,21301,
42,12,Copper_Nodule,Manganese_Nodule,0.647,0.745,0.558,0.394,44168,
37,34,Copper_Nodule,Manganese_Nodule,0.746,0.85,0.517,0.498,55615,
11,44,Copper_Nodule,Manganese_Nodule,0.75,0.774,0.489,0.512,54182,
23,42,Copper_Nodule,Manganese_Nodule,0.809,0.815,0.529,0.558,58675,
38,6,Copper_Nodule,Manganese_Nodule,0.64,0.713,0.495,0.546,44271,
30,27,Copper_Nodule,Manganese_Nodule,0.776,0.774,0.402,0.441,58629,
45,28,Copper_Nodule,Manganese_Nodule,0.423,0.864,0.457,0.449,32860,
36,37,Copper_Nodule,Manganese_Nodule,0.733,0.869,0.578,0.465,53487,
46,27,Copper_Nodule,Manganese_Nodule,0.194,0.853,0.523,0.45,14404,
34,13,Copper_Nodule,Manganese_Nodule,0.523,0.729,0.535,0.523,35808,
32,6,Copper_Nodule,Manganese_Nodule,0.859,0.753,0.583,0.548,58139,
18,48,Copper_Nodule,Manganese_Nodule,0.636,0.841,0.515,0.459,47206,
44,1,Copper_Nodule,Manganese_Nodule,0.199,0.715,0.551,0.476,13384,
3,47,Copper_Nodule,Manganese_Nodule,0.543,0.73,0.586,0.505,36155,
31,26,Copper_Nodule,Manganese_Nodule,0.779,0.779,0.344,0.534,60721,
15,29,Copper_Nodule,Manganese_Nodule,0.619,0.711,0.517,0.48,42232,
38,25,Copper_Nodule,Manganese_Nodule,0.295,0.793,0.589,0.46,20457,
16,36,Copper_Nodule,Manganese_Nodule,0.407,0.746,0.598,0.63,27214,
39,40,Copper_Nodule,Manganese_Nodule,0.98,0.885,0.582,0.437,72080,
43,25,Copper_Nodule,Manganese_Nodule,0.679,0.831,0.567,0.432,48693,
10,42,Copper_Nodule,Manganese_Nodule,0.645,0.77,0.541,0.475,45154,
4,40,Copper_Nodule,Manganese_Nodule,0.572,0.722,0.504,0.553,39567,
13,48,Copper_Nodule,Manganese_Nodule,0.674,0.811,0.56,0.543,47985,
3,29,Copper_Nodule,Manganese_Nodule,0.701,0.715,0.542,0.463,47340,
34,46,Copper_Nodule,Manganese_Nodule,0.338,0.898,0.505,0.485,26092,
37,38,Copper_Nodule,Manganese_Nodule,0.54,0.877,0.503,0.474,41223,
11,38,Copper_Nodule,Manganese_Nodule,0.459,0.721,0.59,0.503,30335,
21,47,Copper_Nodule,Manganese_Nodule,0.864,0.834,0.42,0.395,67141,
15,30,Copper_Nodule,Manganese_Nodule,0.351,0.712,0.479,0.513,24489,
25,25,Copper_Nodule,Manganese_Nodule,0.229,0.737,0.56,0.428,15509,
18,1,Methane_Ice,Methane_Hydrate,0.671,0.419,0.532,0.686,45866,
9,2,Methane_Ice,Methane_Hydrate,0.824,0.505,0.573,0.752,58945,
10,25,Platinum_Crust,Cobalt_Rich_Crust,0.507,0.662,0.609,0.614,56441,
18,17,Platinum_Crust,Cobalt_Rich_Crust,0.63,0.66,0.442,0.713,76522,
2,28,Platinum_Crust,Cobalt_Rich_Crust,0.624,0.63,0.557,0.582,69847,
16,1,Platinum_Crust,Cobalt_Rich_Crust,0.595,0.562,0.622,0.674,61250,
18,8,Platinum_Crust,Cobalt_Rich_Crust,0.742,0.61,0.365,0.676,90466,
1,31,Platinum_Crust,Cobalt_Rich_Crust,0.627,0.633,0.477,0.786,73388,
24,8,Platinum_Crust,Cobalt_Rich_Crust,0.362,0.634,0.719,0.724,37093,
27,6,Platinum_Crust,Cobalt_Rich_Crust,0.711,0.657,0.6,0.765,79224,
4,13,Platinum_Crust,Cobalt_Rich_Crust,0.31,0.55,0.504,0.727,33766,
6,26,Platinum_Crust,Cobalt_Rich_Crust,0.928,0.634,0.427,0.642,111543,
26,10,Platinum_Crust,Cobalt_Rich_Crust,0.43,0.667,0.661,0.756,46605,
4,10,Platinum_Crust,Cobalt_Rich_Crust,0.435,0.55,0.496,0.702,47511,
9,10,Platinum_Crust,Cobalt_Rich_Crust,0.899,0.577,0.749,0.642,86879,
7,32,Platinum_Crust,Cobalt_Rich_Crust,0.567,0.686,0.556,0.738,65962,
20,13,Platinum_Crust,Cobalt_Rich_Crust,0.539,0.655,0.54,0.622,61920,
36,4,Platinum_Crust,Cobalt_Rich_Crust,0.06,0.691,0.642,0.706,6711,
4,20,Platinum_Crust,Cobalt_Rich_Crust,0.525,0.59,0.5,0.689,58937,
20,18,Platinum_Crust,Cobalt_Rich_Crust,0.571,0.675,0.532,0.717,66806,
36,1,Platinum_Crust,Cobalt_Rich_Crust,0.875,0.666,0.617,0.6,97241,
17,11,Platinum_Crust,Cobalt_Rich_Crust,0.507,0.62,0.502,0.679,58101,
27,13,Platinum_Crust,Cobalt_Rich_Crust,0.881,0.688,0.703,0.656,94587,
8,34,Platinum_Crust,Cobalt_Rich_Crust,0.643,0.681,0.506,0.667,76638,
13,9,Platinum_Crust,Cobalt_Rich_Crust,0.425,0.595,0.58,0.627,45819,
7,2,Platinum_Crust,Cobalt_Rich_Crust,0.563,0.536,0.59,0.7,57866,
14,23,Platinum_Crust,Cobalt_Rich_Crust,0.959,0.668,0.596,0.604,107922,
6,5,Platinum_Crust,Cobalt_Rich_Crust,0.744,0.544,0.556,0.661,78386,
32,8,Platinum_Crust,Cobalt_Rich_Crust,0.5,0.692,0.484,0.602,60703,
2,16,Platinum_Crust,Cobalt_Rich_Crust,0.646,0.568,0.607,0.621,67338,
6,12,Platinum_Crust,Cobalt_Rich_Crust,0.675,0.547,0.591,0.6,69884,
30,4,Platinum_Crust,Cobalt_Rich_Crust,0.379,0.644,0.599,0.704,41919,
5,14,Platinum_Crust,Cobalt_Rich_Crust,0.639,0.555,0.381,0.659,74298,
17,23,Platinum_Crust,Cobalt_Rich_Crust,0.499,0.695,0.656,0.688,55259,
23,15,Platinum_Crust,Cobalt_Rich_Crust,0.563,0.692,0.499,0.689,67903,
1,36,Platinum_Crust,Cobalt_Rich_Crust,0.509,0.669,0.555,0.597,58661,
16,0,Platinum_Crust,Cobalt_Rich_Crust,0.455,0.558,0.63,0.671,46455,
4,23,Platinum_Crust,Cobalt_Rich_Crust,0.402,0.616,0.567,0.741,44377,
29,5,Platinum_Crust,Cobalt_Rich_Crust,0.328,0.638,0.626,0.643,35538,
8,1,Platinum_Crust,Cobalt_Rich_Crust,0.838,0.595,0.624,0.664,88233,
10,22,Platinum_Crust,Cobalt_Rich_Crust,0.529,0.641,0.464,0.708,62748,
9,9,Platinum_Crust,Cobalt_Rich_Crust,0.414,0.566,0.674,0.636,41502,
2,34,Platinum_Crust,Cobalt_Rich_Crust,0.277,0.647,0.619,0.694,30289,
15,9,Platinum_Crust,Cobalt_Rich_Crust,0.712,0.592,0.431,0.678,82898,
31,4,Platinum_Crust,Cobalt_Rich_Crust,0.626,0.664,0.564,0.654,71545,
30,4,RareEarth_Crust,Cobalt_Rich_Crust,0.559,0.644,0.599,0.913,72633,
12,22,RareEarth_Crust,Cobalt_Rich_Crust,0.722,0.659,0.522,0.891,98895,
21,17,RareEarth_Crust,Cobalt_Rich_Crust,0.769,0.678,0.584,0.833,103192,
33,4,RareEarth_Crust,Cobalt_Rich_Crust,0.796,0.666,0.612,0.928,104321,
29,3,RareEarth_Crust,Cobalt_Rich_Crust,0.511,0.646,0.623,0.952,65702,
7,23,RareEarth_Crust,Cobalt_Rich_Crust,0.662,0.616,0.527,0.964,87832,
9,13,RareEarth_Crust,Cobalt_Rich_Crust,0.445,0.568,0.603,0.866,54640,
9,7,RareEarth_Crust,Cobalt_Rich_Crust,0.71,0.543,0.554,0.903,87978,
22,1,RareEarth_Crust,Cobalt_Rich_Crust,0.312,0.576,0.456,0.98,41743,
1,23,RareEarth_Crust,Cobalt_Rich_Crust,0.95,0.608,0.68,0.91,115030,
6,26,RareEarth_Crust,Cobalt_Rich_Crust,0.463,0.634,0.427,0.867,65445,
6,31,RareEarth_Crust,Cobalt_Rich_Crust,0.677,0.673,0.519,0.972,93845,
0,37,RareEarth_Crust,Cobalt_Rich_Crust,0.98,0.662,0.566,0.885,131394,
4,36,RareEarth_Crust,Cobalt_Rich_Crust,0.529,0.683,0.556,0.892,72278,
4,9,RareEarth_Crust,Cobalt_Rich_Crust,0.682,0.54,0.48,0.857,87700,
27,5,RareEarth_Crust,Cobalt_Rich_Crust,0.327,0.643,0.611,0.888,42270,
16,20,RareEarth_Crust,Cobalt_Rich_Crust,0.662,0.661,0.644,0.98,84939,
28,3,RareEarth_Crust,Cobalt_Rich_Crust,0.384,0.642,0.575,0.956,50547,
12,5,RareEarth_Crust,Cobalt_Rich_Crust,0.58,0.57,0.536,0.888,74005,
24,5,RareEarth_Crust,Cobalt_Rich_Crust,0.29,0.612,0.552,0.92,37792,
28,6,RareEarth_Crust,Cobalt_Rich_Crust,0.655,0.656,0.572,0.98,87173,
17,6,RareEarth_Crust,Cobalt_Rich_Crust,0.548,0.597,0.376,0.978,77515,
11,32,RareEarth_Crust,Cobalt_Rich_Crust,0.539,0.688,0.584,0.883,72841,
17,2,RareEarth_Crust,Cobalt_Rich_Crust,0.264,0.572,0.628,0.957,32081,
11,28,RareEarth_Crust,Cobalt_Rich_Crust,0.628,0.694,0.53,0.9,87664,
1,15,RareEarth_Crust,Cobalt_Rich_Crust,0.542,0.549,0.556,0.912,67423,
4,1,Shallow_Phosphate,Phosphorite,0.98,0.765,0.622,0.452,47717,
10,12,Shallow_Phosphate,Phosphorite,0.784,0.769,0.659,0.487,37484,
3,3,Shallow_Phosphate,Phosphorite,0.725,0.733,0.487,0.375,37186,
2,0,Deep_Phosphate,Phosphorite,0.543,0.469,0.622,0.546,25742,
5,0,Deep_Phosphate,Phosphorite,0.443,0.452,0.58,0.457,21219,
26,25,Carbon_Rich_Sediment,Biogenic_Sediment,0.398,0.744,0.5,0.401,17500,
40,36,Carbon_Rich_Sediment,Biogenic_Sediment,0.39,0.825,0.634,0.352,16796,
39,10,Carbon_Rich_Sediment,Biogenic_Sediment,0.44,0.824,0.583,0.376,19488,
35,34,Carbon_Rich_Sediment,Biogenic_Sediment,0.895,0.725,0.575,0.37,37374,
46,7,Carbon_Rich_Sediment,Biogenic_Sediment,0.653,0.676,0.564,0.411,26528,
46,13,Carbon_Rich_Sediment,Biogenic_Sediment,0.05,0.418,0.53,0.319,1707,
41,5,Carbon_Rich_Sediment,Biogenic_Sediment,0.638,0.861,0.612,0.372,28407,
49,32,Carbon_Rich_Sediment,Biogenic_Sediment,0.667,0.892,0.507,0.241,32042,
43,4,Carbon_Rich_Sediment,Biogenic_Sediment,0.751,0.438,0.61,0.436,24958,
18,32,Carbon_Rich_Sediment,Biogenic_Sediment,0.77,0.896,0.529,0.31,36662,
37,35,Carbon_Rich_Sediment,Biogenic_Sediment,0.648,0.549,0.561,0.341,24110,
32,41,Carbon_Rich_Sediment,Biogenic_Sediment,0.378,0.789,0.652,0.351,15760,
15,30,Carbon_Rich_Sediment,Biogenic_Sediment,0.751,0.471,0.479,0.319,27514,
39,15,Carbon_Rich_Sediment,Biogenic_Sediment,0.627,0.432,0.52,0.35,21805,
9,46,Carbon_Rich_Sediment,Biogenic_Sediment,0.846,0.503,0.579,0.395,30091,
48,0,Carbon_Rich_Sediment,Biogenic_Sediment,0.356,0.759,0.581,0.247,15151,
20,35,Carbon_Rich_Sediment,Biogenic_Sediment,0.54,0.764,0.51,0.329,23948,
23,42,Carbon_Rich_Sediment,Biogenic_Sediment,0.579,0.531,0.529,0.233,21633,
11,39,Carbon_Rich_Sediment,Biogenic_Sediment,0.656,0.883,0.642,0.396,29129,
42,18,Carbon_Rich_Sediment,Biogenic_Sediment,0.575,0.47,0.504,0.289,20783,
42,13,Carbon_Rich_Sediment,Biogenic_Sediment,0.753,0.655,0.52,0.272,30866,
19,36,Carbon_Rich_Sediment,Biogenic_Sediment,0.488,0.581,0.566,0.354,18562,
19,49,Carbon_Rich_Sediment,Biogenic_Sediment,0.732,0.426,0.576,0.408,24522,
23,46,Carbon_Rich_Sediment,Biogenic_Sediment,0.871,0.683,0.396,0.377,38831,
48,27,Carbon_Rich_Sediment,Biogenic_Sediment,0.892,0.735,0.603,0.345,36904,
27,41,Carbon_Rich_Sediment,Biogenic_Sediment,0.324,0.678,0.609,0.322,12865,
18,45,Carbon_Rich_Sediment,Biogenic_Sediment,0.765,0.809,0.476,0.339,35534,
38,7,Carbon_Rich_Sediment,Biogenic_Sediment,0.399,0.694,0.535,0.377,16689,
43,18,Carbon_Rich_Sediment,Biogenic_Sediment,0.69,0.878,0.45,0.373,33853,
46,25,Carbon_Rich_Sediment,Biogenic_Sediment,0.764,0.644,0.647,0.297,28999,
29,15,Carbon_Rich_Sediment,Biogenic_Sediment,0.98,0.526,0.697,0.462,33187,
44,39,Carbon_Rich_Sediment,Biogenic_Sediment,0.639,0.575,0.573,0.333,24064,
41,10,Carbon_Rich_Sediment,Biogenic_Sediment,0.462,0.709,0.544,0.376,19405,
5,43,Carbon_Rich_Sediment,Biogenic_Sediment,0.426,0.634,0.609,0.271,16411,
47,5,Carbon_Rich_Sediment,Biogenic_Sediment,0.604,0.503,0.589,0.338,21372,
19,23,Carbon_Rich_Sediment,Biogenic_Sediment,0.533,0.687,0.651,0.269,20792,
42,0,Carbon_Rich_Sediment,Biogenic_Sediment,0.961,0.817,0.636,0.344,41103,
39,14,Carbon_Rich_Sediment,Biogenic_Sediment,0.673,0.638,0.593,0.27,26244,
21,41,Carbon_Rich_Sediment,Biogenic_Sediment,0.633,0.681,0.497,0.4,26738,
31,37,Carbon_Rich_Sediment,Biogenic_Sediment,0.474,0.898,0.671,0.368,20881,
36,42,Carbon_Rich_Sediment,Biogenic_Sediment,0.593,0.886,0.581,0.398,27294,
38,8,Carbon_Rich_Sediment,Biogenic_Sediment,0.424,0.502,0.576,0.355,15099,
25,29,Carbon_Rich_Sediment,Biogenic_Sediment,0.742,0.432,0.594,0.331,24790,
12,44,Carbon_Rich_Sediment,Biogenic_Sediment,0.73,0.865,0.507,0.245,34521,
25,25,Carbon_Rich_Sediment,Biogenic_Sediment,0.716,0.68,0.56,0.362,29232,
35,41,Carbon_Rich_Sediment,Biogenic_Sediment,0.269,0.735,0.648,0.384,10862,
3,5,Neuralite,Neuralite,0.355,0.719,0.488,0.696,61886,semi-biological conductive mineral associated with healthy corals
4,1,Neuralite,Neuralite,0.144,0.621,0.426,0.539,24154,semi-biological conductive mineral associated with healthy corals
